,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
Zeus,18,4,3,2,288,2,7.6,14179,374,21.7,64,26,16,12,12,1.69,0.69,0.32,0.42,20.1,15757,9350,6287,120,416,23.9,0.16,54.5,1,0,0,0,0,-100,-5,-359,0,0,1672,1672,5725,0,26601,0,15,125,26039,76,13,31,0
Oner,15,2,1,5,192,147,5.1,12347,326,18.9,62,12,15,10,10,1.64,0.32,0.26,0.4,19.5,11590,9826,879,885,306,17.6,0.18,63.6,0,0,0,0,0,-202,-2,-280,0,0,606,606,16724,0,29472,0,15,124,32120,0,11,26,0
Faker,17,2,2,4,264,0,7,12580,332,19.3,56,28,14,7,7,1.48,0.74,0.18,0.37,17.6,13265,1389,8390,3486,350,20.1,0.16,54.5,0,0,0,0,0,804,15,685,1,0,1234,1234,3287,0,10906,0,20,69,14675,43,9,26,0
Gumayusi,17,3,5,2,395,48,10.4,17362,458,26.6,36,16,12,6,6,0.95,0.42,0.16,0.32,11.3,20946,19562,1027,357,553,31.7,0.13,45.5,0,0,0,0,0,-1002,-31,-1512,-2,0,3223,3223,3415,0,11135,0,12,115,21667,102,11,36,0
Keria,13,0,5,9,44,0,1.2,8804,232,13.5,100,78,14,24,23,2.64,2.06,0.63,0.37,31.4,4449,911,2626,912,117,6.7,0.24,81.8,0,0,0,0,0,257,19,172,0,0,792,792,9299,5042,22103,4426,14,46,19781,115,26,41,0
Zeus,17,5,2,6,229,16,7.1,13283,412,20.1,37,21,5,8,8,1.15,0.65,0.25,0.16,11.5,14460,8523,5425,512,449,18.8,0.34,55.0,0,0,0,0,0,890,23,952,1,0,3679,3679,4380,0,29709,0,16,236,19198,65,10,28,1
Oner,17,5,1,7,224,173,7,13969,434,21.2,122,43,30,10,10,3.79,1.33,0.31,0.93,38.0,17758,15202,677,1879,551,23.1,0.37,60.0,0,0,0,0,0,-216,2,691,1,1,1087,1087,14269,0,26383,0,15,331,23565,16,11,29,1
Faker,17,3,2,6,241,0,7.5,12829,398,19.4,25,10,4,7,6,0.78,0.31,0.22,0.12,7.8,12300,10456,501,1343,382,16.0,0.28,45.0,0,0,0,0,0,535,0,251,0,0,5278,5278,2498,0,32077,103,22,471,16735,90,8,26,1
Gumayusi,17,6,1,7,327,32,10.2,16475,511,25.0,37,11,8,3,3,1.15,0.34,0.09,0.25,11.5,26776,24710,1471,595,831,34.9,0.4,65.0,0,1,0,0,0,-962,-16,-542,0,0,8466,8466,2918,0,10843,0,17,70,9529,10,5,30,1
Keria,13,1,2,12,40,0,1.2,9434,293,14.3,100,56,14,17,17,3.1,1.74,0.53,0.43,31.2,5533,1129,3018,1386,172,7.2,0.4,65.0,0,0,0,0,0,804,24,772,1,0,1165,1165,5754,2912,22064,4736,23,75,14222,67,19,34,1
Zeus,14,0,4,2,225,9,8.1,9698,348,21.9,30,12,1,6,4,1.08,0.43,0.22,0.04,16.9,10345,1964,8381,0,372,21.9,0.07,50.0,0,0,0,0,0,1457,39,-363,0,0,1965,1965,2600,0,10466,0,17,50,15743,108,7,21,0
Oner,12,2,2,2,138,108,5,9053,325,20.4,38,8,9,6,6,1.37,0.29,0.22,0.32,21.3,6328,627,5559,142,227,13.4,0.14,100.0,0,0,0,0,0,925,-8,-909,-1,0,357,357,10996,957,25674,0,39,537,20245,82,7,20,0
Faker,14,0,2,2,242,8,8.7,9671,347,21.8,23,13,3,6,5,0.83,0.47,0.22,0.11,12.9,15828,13663,2165,0,569,33.5,0.07,50.0,0,0,0,0,0,-273,-15,-1601,-1,0,2556,2556,1024,0,9448,0,4,90,12747,62,7,25,0
Gumayusi,13,1,3,1,244,8,8.8,10222,367,23.1,26,12,5,6,5,0.93,0.43,0.22,0.18,14.6,12417,11900,517,0,446,26.3,0.07,50.0,0,0,0,0,0,-1377,-27,5,0,0,2055,2055,1273,0,9333,0,7,165,8942,59,9,25,0
Keria,10,1,3,1,31,0,1.1,5700,205,12.9,61,35,9,13,11,2.19,1.26,0.47,0.32,34.3,2382,380,1770,232,86,5.0,0.07,50.0,0,0,0,0,0,-392,13,-558,-1,0,0,0,8,0,14462,0,21,159,10460,68,16,28,0
Zeus,18,4,3,5,326,4,7.5,17007,390,21.7,47,13,8,10,8,1.08,0.3,0.23,0.18,11.2,22738,1844,20763,131,522,25.1,0.21,64.3,0,0,0,0,0,486,2,-343,0,0,2928,2928,21909,0,39434,0,46,474,39088,147,14,35,0
Oner,17,3,6,7,233,204,5.3,14671,337,18.7,100,18,23,15,15,2.29,0.41,0.34,0.53,23.8,9737,8480,876,381,223,10.8,0.23,71.4,0,0,0,0,0,-1292,-4,-308,0,2,326,326,23052,0,49586,0,15,178,46010,171,17,36,0
Faker,18,1,6,5,324,4,7.4,15717,361,20.0,65,19,17,16,15,1.49,0.44,0.37,0.39,15.4,19478,674,18587,217,447,21.5,0.14,42.9,0,0,0,0,0,-92,5,-185,0,0,3955,3955,6543,234,21863,0,49,323,24322,158,17,36,0
Gumayusi,18,3,4,6,477,74,10.9,20341,467,25.9,65,14,30,5,5,1.49,0.32,0.11,0.69,15.4,32831,31504,1085,242,753,36.2,0.21,64.3,0,0,0,0,0,-1570,5,-392,0,0,5288,5288,6357,0,21032,0,18,131,18477,146,7,29,0
Keria,14,3,4,8,53,0,1.2,10689,245,13.6,144,86,19,30,27,3.3,1.97,0.69,0.44,34.2,5792,741,3675,1376,133,6.4,0.25,78.6,2,1,0,0,0,-588,17,-3,0,0,1323,1323,11570,3287,31481,5378,21,55,22519,82,33,49,0
