,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
DnDn,12,1,5,3,126,0,6,6478,308,20.1,18,10,1,5,3,0.86,0.48,0.24,0.05,11.8,8529,1296,7233,0,406,24.0,0.19,80.0,0,0,0,0,0,-2336,-46,-813,-1,0,1659,1659,4961,127,15193,0,34,295,21000,133,6,23,0
Sylvie,10,2,5,3,103,88,4.9,6412,305,19.9,26,14,3,8,7,1.24,0.67,0.38,0.14,17.0,6030,4395,1362,273,287,17.0,0.24,100.0,0,0,0,0,0,-2973,-12,-914,0,0,0,0,9012,0,14622,37,11,339,19636,114,9,21,0
Peter,9,0,2,3,8,0,0.4,4404,210,13.7,58,25,4,5,5,2.76,1.19,0.24,0.19,37.9,3351,778,2573,0,160,9.4,0.14,60.0,0,0,0,0,0,-296,3,51,0,0,0,0,1356,366,4647,4011,18,121,7314,16,7,17,0
DnDn,13,1,1,1,185,4,7.9,7900,339,22.7,22,8,4,3,2,0.94,0.34,0.13,0.17,14.5,10071,6847,3224,0,432,25.9,0.09,33.3,0,0,0,0,0,260,6,-205,0,0,778,778,2404,0,10459,0,9,27,12685,35,4,21,0
Sylvie,11,0,2,4,108,100,4.6,6529,280,18.8,33,10,6,11,9,1.41,0.43,0.47,0.26,21.7,5773,3234,2114,425,247,14.8,0.17,66.7,0,0,0,0,0,-724,1,-59,0,0,0,0,9228,1061,21295,0,15,216,19915,40,12,26,0
Peter,8,2,4,4,6,0,0.3,5327,228,15.3,50,27,4,8,7,2.14,1.16,0.34,0.17,32.9,4153,669,3476,8,178,10.7,0.26,100.0,0,0,0,0,0,-1279,-9,-959,-1,0,0,0,5107,4133,3164,1012,22,93,9217,77,12,24,0
DnDn,17,3,2,8,243,4,8.4,12633,439,22.6,34,13,5,9,7,1.18,0.45,0.31,0.17,12.0,14219,12777,0,1442,494,23.0,0.38,84.6,0,1,0,0,0,30,3,188,0,0,4855,4855,5678,0,24619,0,20,138,21140,53,11,27,1
Sylvie,14,2,1,7,141,121,4.9,9939,345,17.8,54,11,12,13,9,1.88,0.38,0.45,0.42,19.1,8518,7244,855,419,296,13.8,0.31,69.2,0,0,0,0,0,-687,-13,-18,0,0,1758,1758,14255,0,23554,0,13,97,23205,36,10,25,1
Peter,11,1,1,9,36,0,1.3,7766,270,13.9,117,83,16,16,15,4.06,2.88,0.56,0.56,41.3,4581,438,3929,214,159,7.4,0.35,76.9,0,0,0,0,0,89,-11,-211,0,0,907,907,4559,2716,10655,3231,19,41,6974,0,18,30,1
DnDn,17,2,3,9,267,0,7.5,12623,356,18.9,34,15,2,9,9,0.96,0.42,0.25,0.06,9.7,16738,13522,2472,744,472,21.8,0.31,68.8,0,0,0,0,0,174,12,249,0,0,636,636,2530,0,45441,469,38,3391,23368,137,12,31,1
