,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
Burdol,17,1,2,2,274,0,8,12498,365,21.9,40,18,7,14,13,1.17,0.53,0.41,0.2,13.9,11105,7442,3082,581,324,28.1,0.09,100.0,0,0,0,0,0,-248,-6,-35,0,0,2635,2635,4902,0,48894,676,32,578,24321,52,16,35,0
Willer,14,0,0,2,188,161,5.5,10797,315,18.9,84,16,21,16,14,2.45,0.47,0.47,0.61,29.3,3552,3254,0,298,104,9.0,0.06,66.7,0,0,0,0,0,595,2,153,0,0,990,990,9821,0,27810,0,9,327,16927,0,17,34,0
Clozer,16,1,3,1,277,8,8.1,11743,343,20.6,33,9,9,6,6,0.96,0.26,0.18,0.26,11.5,11058,854,9604,600,323,27.9,0.06,66.7,0,0,0,0,0,361,0,144,0,0,910,910,2097,0,13748,0,22,204,15344,103,6,19,0
Kael,12,0,3,2,41,0,1.2,7537,220,13.2,88,48,14,14,12,2.57,1.4,0.41,0.41,30.7,3039,231,2578,230,89,7.7,0.06,66.7,0,0,0,0,0,149,-1,-91,0,0,241,241,50,0,6700,818,23,88,9341,73,16,31,0
Burdol,14,0,3,0,204,3,7.4,8109,293,19.1,23,9,5,8,6,0.83,0.33,0.29,0.18,11.7,4346,3162,852,332,157,12.2,0,0.0,0,0,0,0,0,-1283,-23,-1057,-1,0,0,0,944,0,25532,50,17,367,19234,105,9,28,0
Willer,12,1,4,0,141,108,5.1,8182,296,19.3,53,14,15,14,12,1.92,0.51,0.51,0.54,26.9,4171,3863,101,207,151,11.7,0.04,100.0,1,0,0,0,0,-85,-18,-184,0,0,0,0,8192,0,23856,0,13,184,22051,113,15,28,0
Clozer,16,0,1,0,276,8,10,9887,357,23.3,20,13,7,5,5,0.72,0.47,0.18,0.25,10.2,10545,369,9906,270,381,29.6,0,0.0,0,0,0,0,0,-406,0,372,0,0,0,0,5631,150,21455,0,18,186,21612,0,6,24,0
Kael,10,0,4,0,38,0,1.4,5651,204,13.3,83,39,18,12,11,3,1.41,0.43,0.65,42.1,1934,496,953,485,70,5.4,0,0.0,0,0,0,0,0,-543,16,83,0,0,0,0,591,0,12210,0,18,81,11754,71,14,26,0
Burdol,16,2,3,5,243,5,8.5,11697,410,20.5,34,12,8,7,6,1.19,0.42,0.25,0.28,14.9,9558,8664,894,0,335,17.0,0.25,38.9,1,0,0,0,0,-275,11,72,0,0,4862,4862,3772,0,13617,0,16,388,17117,73,8,31,1
Willer,14,5,2,8,161,145,5.6,11062,388,19.4,50,13,10,12,11,1.75,0.46,0.42,0.35,21.9,8572,7431,696,445,301,15.2,0.46,72.2,1,0,0,0,0,-450,4,77,0,1,1250,1250,13284,0,18793,0,8,109,25651,69,13,29,1
Clozer,16,1,1,8,272,12,9.5,11498,403,20.1,19,6,3,4,4,0.67,0.21,0.14,0.11,8.3,9642,913,6700,2029,338,17.1,0.32,50.0,0,0,0,0,0,-59,-1,190,0,0,2933,2933,4112,290,8288,0,16,85,11973,16,4,19,1
Kael,12,3,3,10,30,0,1.1,7975,280,14.0,87,46,8,14,12,3.05,1.61,0.49,0.28,38.2,4425,631,2976,818,155,7.9,0.46,72.2,0,0,0,0,0,771,8,845,1,0,628,628,79,0,7314,602,21,119,11008,62,17,31,1
Burdol,15,1,3,1,251,0,8.5,9785,332,20.8,32,12,6,7,7,1.09,0.41,0.24,0.2,16.8,7115,5473,1211,431,242,17.6,0.07,40.0,0,0,0,0,0,-910,-4,-989,-1,0,1239,1239,2031,0,32049,0,22,552,21858,122,8,30,0
Willer,15,1,2,4,206,186,7,9738,331,20.7,51,21,12,13,10,1.73,0.71,0.44,0.41,26.7,5040,3472,781,787,171,12.5,0.17,100.0,0,0,0,0,0,-661,4,-148,0,0,0,0,19436,0,30881,652,14,635,28751,53,14,29,0
Clozer,15,1,4,4,268,0,9.1,10143,345,21.6,19,9,2,6,5,0.65,0.31,0.2,0.07,9.9,13519,1298,7344,4877,459,33.4,0.17,100.0,0,0,0,0,0,-941,-21,-936,0,0,0,0,3145,292,9958,0,15,88,15001,139,9,24,0
Kael,10,0,2,5,26,0,0.9,5715,194,12.2,65,48,7,14,13,2.21,1.63,0.48,0.24,34.0,3256,290,2544,422,111,8.1,0.17,100.0,0,0,0,0,0,10,-4,128,0,0,0,0,208,0,5612,876,12,56,8113,32,16,27,0
Burdol,18,2,3,3,380,16,9.7,15127,387,23.8,44,13,9,8,7,1.13,0.33,0.2,0.23,13.7,27839,25130,2367,342,713,35.0,0.13,31.3,1,0,0,0,0,238,12,-110,0,0,6828,6828,10903,0,23403,0,11,262,30410,110,11,37,0
Willer,16,4,5,7,202,169,5.2,12331,316,19.4,67,30,7,16,14,1.72,0.77,0.41,0.18,20.8,10763,8653,1502,608,276,13.5,0.28,68.8,0,0,0,0,0,325,6,-351,0,0,0,0,24078,0,44317,2463,15,738,45325,156,18,35,0
