,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
Rascal,15,0,3,2,247,24,9.4,10846,414,23.6,25,13,2,5,4,0.96,0.5,0.19,0.08,13.7,8507,7368,1139,0,325,24.8,0.08,40.0,0,0,0,0,0,-1731,-31,-1554,-1,0,10120,10120,94,0,7312,0,3,80,11028,89,5,24,0
Juhan,12,0,2,2,139,112,5.3,7838,300,17.1,58,13,13,12,11,2.22,0.5,0.46,0.5,31.9,5958,2863,2780,315,228,17.3,0.08,40.0,0,0,0,0,0,-257,-3,238,0,0,0,0,9912,1720,24957,0,18,269,19345,37,13,28,0
FATE,15,3,1,0,255,16,9.7,10951,419,23.9,25,8,4,6,5,0.96,0.31,0.23,0.15,13.7,5782,3540,1446,796,221,16.8,0.11,60.0,0,0,0,0,0,-1254,-14,-112,0,0,895,895,1106,0,16577,0,5,166,11368,21,8,23,0
deokdam,13,1,2,3,248,20,9.5,10035,384,21.9,18,11,5,4,3,0.69,0.42,0.15,0.19,9.9,11954,11185,508,261,457,34.8,0.15,80.0,0,0,0,0,0,130,-11,-263,0,0,0,0,1032,0,5268,0,12,65,9083,42,7,23,0
BeryL,11,1,2,2,36,0,1.4,6225,238,13.6,56,30,10,8,8,2.14,1.15,0.31,0.38,30.8,2140,237,1502,401,82,6.2,0.11,60.0,0,0,0,0,0,451,20,782,1,0,0,0,988,188,10740,0,13,87,9913,32,10,22,0
Rascal,15,0,2,1,225,12,8.3,9291,342,21.5,23,13,3,5,3,0.85,0.48,0.18,0.11,12.2,9330,4990,4340,0,343,25.4,0.04,50.0,0,0,0,0,0,-2014,-40,-2027,-1,0,2593,2593,3238,0,13196,0,8,137,20188,16,6,21,0
Juhan,12,1,5,1,134,116,4.9,8298,305,19.2,47,10,11,10,8,1.73,0.37,0.37,0.4,25.0,6920,6160,437,323,254,18.9,0.07,100.0,0,0,0,0,0,-1162,-24,-1277,-2,0,1072,1072,8482,0,21283,0,6,175,22400,155,11,27,0
FATE,15,1,2,1,272,6,10,9973,367,23.1,19,9,1,5,3,0.7,0.33,0.18,0.04,10.1,9450,284,9042,124,347,25.8,0.07,100.0,0,0,0,0,0,-92,19,685,1,0,1118,1118,242,0,6450,0,19,526,8218,48,7,28,0
deokdam,13,0,3,1,247,4,9.1,9674,356,22.4,27,12,8,4,4,0.99,0.44,0.15,0.29,14.4,8936,8936,0,0,329,24.4,0.04,50.0,0,0,0,0,0,-1295,-18,-888,-1,0,3212,3212,1510,0,6525,0,7,14,11583,73,8,23,0
BeryL,11,0,4,1,41,0,1.5,5892,217,13.7,72,37,10,13,11,2.65,1.36,0.48,0.37,38.3,2045,300,1406,339,75,5.6,0.04,50.0,0,0,0,0,0,-357,19,-383,-1,0,292,292,2299,1106,14066,1898,11,26,13666,126,15,28,0
