,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
Kiin,15,0,4,1,224,4,7.8,9924,347,20.0,27,14,3,2,2,0.94,0.49,0.07,0.1,14.2,12004,5419,6585,0,419,28.2,0.03,16.7,0,0,0,0,0,-813,-16,-1305,-1,0,9559,9559,1454,0,16663,0,14,127,19630,102,3,31,0
Cuzz,14,5,3,0,196,170,6.8,11065,387,22.3,49,14,13,12,10,1.71,0.49,0.42,0.45,25.8,8781,7806,0,975,307,20.6,0.17,83.3,1,1,0,0,0,1442,16,943,0,0,0,0,9412,0,31714,0,20,352,21472,75,14,35,0
Bdd,16,0,2,5,235,0,8.2,11196,391,22.6,18,5,0,3,3,0.63,0.17,0.1,0,9.5,6965,852,5963,150,243,16.3,0.17,83.3,0,0,0,0,0,-205,-20,-568,0,0,2451,2451,1700,262,7393,0,13,200,11939,45,3,19,0
Aiming,14,1,1,1,277,4,9.7,11370,397,23.0,28,11,6,4,4,0.98,0.38,0.14,0.21,14.7,13519,11893,1596,30,472,31.7,0.07,33.3,0,0,0,0,0,-652,2,-611,-1,0,301,301,1834,0,4219,0,25,394,8458,0,4,28,0
Lehends,10,0,4,1,36,0,1.3,5958,208,12.0,68,51,8,17,15,2.38,1.78,0.59,0.28,35.8,1349,204,993,152,47,3.2,0.03,16.7,0,0,0,0,0,-470,-6,-137,0,0,0,0,366,175,12327,0,14,95,8906,109,19,32,0
Kiin,16,3,2,0,296,12,8.3,12748,356,21.8,44,13,11,6,6,1.23,0.36,0.17,0.31,15.7,9721,8457,1264,0,271,14.7,0.08,42.9,0,0,0,0,0,225,14,499,1,0,508,508,11011,0,25322,0,13,46,28047,41,9,35,0
Cuzz,14,0,1,5,186,159,5.2,10108,282,17.3,64,15,13,14,13,1.79,0.42,0.39,0.36,22.8,6117,3267,2621,229,171,9.3,0.14,71.4,0,0,0,0,0,-396,3,27,0,0,0,0,15584,197,52213,0,15,341,41081,0,15,33,0
Bdd,17,1,3,4,314,8,8.8,13540,378,23.1,34,17,5,4,3,0.95,0.47,0.11,0.14,12.1,20098,1444,17856,798,561,30.5,0.14,71.4,0,0,0,0,0,-439,3,119,0,0,1318,1318,1028,0,7944,0,35,637,13454,133,6,24,0
Aiming,16,2,2,3,350,20,9.8,14686,410,25.1,43,12,14,2,2,1.2,0.33,0.06,0.39,15.3,20800,14477,6119,204,580,31.6,0.14,71.4,0,0,0,0,0,507,7,209,0,0,1955,1955,7251,0,9595,0,7,262,16037,42,5,22,0
Lehends,12,1,4,4,22,0,0.6,7511,210,12.8,96,64,9,21,19,2.68,1.79,0.59,0.25,34.2,9181,270,8459,452,256,13.9,0.14,71.4,0,0,0,0,0,275,-10,654,1,0,569,569,535,0,5773,5351,16,174,9886,88,23,36,0
Kiin,16,0,3,2,264,0,8,11364,343,21.0,39,17,8,11,11,1.18,0.51,0.33,0.24,13.6,7990,3083,4907,0,241,18.9,0.06,50.0,0,0,0,0,0,923,18,670,1,0,3657,3657,2302,0,43672,0,12,654,19405,78,12,34,0
Cuzz,14,1,4,2,182,168,5.5,9812,296,18.2,49,13,11,12,11,1.48,0.39,0.36,0.33,17.1,8448,7339,597,512,255,20.0,0.09,75.0,0,0,0,0,0,-991,5,-556,0,1,0,0,11396,0,25570,0,7,247,26072,95,13,31,0
Bdd,17,0,5,1,247,4,7.5,11215,338,20.7,19,12,1,8,8,0.57,0.36,0.24,0.03,6.6,6470,749,5537,184,195,15.3,0.03,25.0,0,0,0,0,0,-841,-39,-862,-1,0,280,280,1974,290,10787,0,11,222,20051,158,8,25,0
Aiming,16,3,3,1,359,18,10.8,14773,446,27.3,45,14,9,5,5,1.36,0.42,0.15,0.27,15.7,16138,16042,96,0,487,38.2,0.12,100.0,0,1,0,0,0,571,-12,-393,0,0,420,420,1743,0,7481,0,12,51,9998,48,5,23,0
Lehends,12,0,2,4,53,0,1.6,6894,208,12.8,135,84,24,20,17,4.07,2.53,0.6,0.72,47.0,3155,626,2529,0,95,7.5,0.12,100.0,0,0,0,0,0,71,11,-598,-1,0,0,0,4451,1567,14081,1813,19,53,13271,64,22,32,0
Kiin,17,1,2,9,256,0,7.7,12633,382,20.2,41,17,7,11,11,1.24,0.51,0.33,0.21,13.2,13409,8853,4554,2,406,21.9,0.3,71.4,1,0,0,0,0,149,6,479,0,0,2063,2063,7071,0,76518,0,43,633,29572,98,12,38,1
Cuzz,16,5,1,7,227,170,6.9,13283,402,21.2,52,12,13,10,10,1.57,0.36,0.3,0.39,16.7,9559,8964,0,595,289,15.6,0.36,85.7,0,1,0,0,0,-127,5,21,0,0,2520,2520,15010,0,38171,0,18,275,24749,50,11,31,1
Bdd,17,3,1,9,278,4,8.4,12710,385,20.3,29,8,6,4,4,0.88,0.24,0.12,0.18,9.3,17200,1048,11524,4628,521,28.0,0.36,85.7,0,1,0,0,0,-1095,-29,-608,-1,0,2444,2444,5170,138,9049,0,25,122,13647,27,4,24,1
Aiming,17,4,1,8,327,41,9.9,15683,475,25.1,57,16,8,5,5,1.73,0.48,0.15,0.24,18.3,17820,16294,1039,487,539,29.1,0.36,85.7,0,0,0,0,0,-43,1,922,1,0,7900,7900,3827,0,10679,0,16,105,12754,53,5,21,1
Lehends,12,1,1,8,50,0,1.5,8247,250,13.2,132,86,19,15,15,4,2.6,0.45,0.58,42.4,3348,428,2643,277,101,5.5,0.27,64.3,0,0,0,0,0,-175,1,-730,-1,0,1265,1265,6594,2122,12065,1285,9,22,10243,0,17,29,1
Kiin,18,0,1,11,298,9,8.8,12875,382,19.6,44,14,8,8,8,1.31,0.42,0.24,0.24,12.4,15920,4918,10072,930,473,25.2,0.33,73.3,0,0,0,0,0,-40,-3,-17,0,0,2772,2772,3204,0,44488,0,30,658,15694,44,10,28,1
Cuzz,17,9,1,5,242,197,7.2,15071,447,22.9,64,12,16,11,10,1.9,0.36,0.33,0.48,18.1,14841,11763,902,2176,441,23.5,0.42,93.3,0,1,0,0,0,873,6,244,0,0,255,255,19608,0,36624,0,8,249,26558,14,13,29,1
Bdd,18,4,2,6,287,4,8.5,13875,412,21.1,35,12,5,8,8,1.04,0.36,0.24,0.15,9.9,12712,874,11716,122,377,20.1,0.3,66.7,0,0,0,0,0,317,2,-360,0,0,4889,4889,3376,0,10173,0,20,83,13081,86,11,27,1
Aiming,17,2,2,9,333,34,9.9,15613,464,23.8,49,16,10,5,5,1.45,0.48,0.15,0.3,13.8,16394,13746,380,2268,487,26.0,0.33,73.3,0,1,0,0,0,-846,-20,-274,0,0,8337,8337,3063,0,7807,0,6,109,9042,28,7,27,1
Lehends,13,0,2,9,45,0,1.3,8250,245,12.6,162,97,23,17,15,4.81,2.88,0.5,0.68,45.8,3259,626,2029,604,97,5.2,0.27,60.0,0,0,0,0,0,-488,0,93,0,0,0,0,4584,1671,12914,878,14,74,10838,77,20,32,1
Kiin,18,2,4,7,381,16,9.2,16353,394,23.2,53,15,15,10,9,1.28,0.36,0.24,0.36,13.3,21339,2425,14347,4567,514,29.0,0.22,81.8,0,0,0,0,0,68,12,-36,0,0,2878,2878,13958,0,36808,0,5,53,33009,94,12,35,0
Cuzz,16,4,5,5,223,159,5.4,13197,318,18.7,57,15,18,12,12,1.37,0.36,0.29,0.43,14.3,8496,7868,280,348,205,11.5,0.22,81.8,0,1,0,0,0,-243,-8,-243,0,0,1842,1842,16688,0,43899,0,9,123,40579,189,13,33,0
Bdd,18,1,4,8,346,16,8.3,13956,336,19.8,42,24,4,10,10,1.01,0.58,0.24,0.1,10.5,14778,425,14104,249,356,20.1,0.22,81.8,0,0,0,0,0,47,9,460,0,0,894,894,4365,0,18252,0,31,723,20765,149,14,32,0
Aiming,17,3,3,7,379,22,9.1,18079,436,25.7,59,16,19,6,6,1.42,0.39,0.14,0.46,14.8,24893,24637,0,256,600,33.8,0.24,90.9,0,1,0,0,0,123,6,464,0,0,1531,1531,9053,0,30722,0,12,227,19564,105,8,27,0
Lehends,14,1,3,8,62,4,1.5,8867,214,12.6,188,121,32,24,22,4.53,2.92,0.58,0.77,47.1,4077,616,3025,436,98,5.5,0.22,81.8,0,0,0,0,0,-216,-3,76,1,0,0,0,9211,2654,29200,1942,18,66,20853,83,29,39,0
Kiin,18,2,0,4,337,28,10.5,15083,471,23.8,49,21,5,9,9,1.53,0.66,0.28,0.16,14.8,20987,835,20152,0,655,33.5,0.19,85.7,0,0,0,0,0,148,10,-113,0,0,9128,9128,6126,0,11055,0,23,73,16001,0,11,36,1
Cuzz,15,3,0,2,210,187,6.6,11003,343,17.4,70,10,17,8,8,2.19,0.31,0.25,0.53,21.1,7761,6733,633,395,242,12.4,0.16,71.4,0,1,0,0,0,221,14,449,0,0,1951,1951,15283,0,22771,0,5,172,25140,0,10,24,1
Bdd,17,0,0,7,311,8,9.7,13754,429,21.7,44,7,10,6,5,1.37,0.22,0.19,0.31,13.3,18389,2597,12202,3590,574,29.3,0.22,100.0,0,0,0,0,0,1041,24,909,1,0,3926,3926,4679,0,7899,0,22,94,12355,0,9,26,1
Aiming,17,2,0,2,320,6,10,15973,499,25.2,48,16,6,7,7,1.5,0.5,0.22,0.19,14.5,11958,11708,0,250,373,19.1,0.12,57.1,0,0,0,0,0,706,-1,643,0,0,4838,4838,2971,0,13056,0,7,110,5489,0,9,27,1
