,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
kingen,16,1,2,2,263,3,7.8,11027,327,19.5,29,16,4,10,9,0.86,0.48,0.3,0.12,9.4,10219,2483,7736,0,303,21.3,0.09,37.5,0,0,0,0,0,40,3,17,0,0,2190,2190,3012,0,30626,0,30,363,25400,41,11,34,0
Clid,14,0,4,5,197,176,5.8,9830,292,17.4,55,14,12,14,12,1.63,0.42,0.42,0.36,17.9,5566,5120,0,446,165,11.6,0.15,62.5,0,0,0,0,0,-873,-6,-244,0,0,0,0,10742,0,32858,0,14,289,26743,128,15,35,0
Zeka,17,3,4,3,333,6,9.9,13103,389,23.2,51,18,11,5,5,1.51,0.53,0.15,0.33,16.6,11887,1392,7610,2885,353,24.8,0.18,75.0,0,1,0,0,0,-317,-2,360,0,0,1170,1170,2567,0,7949,0,15,70,13449,90,7,26,0
Viper,17,3,3,3,372,28,11,14943,444,26.4,48,16,25,7,7,1.43,0.48,0.21,0.74,15.6,17804,12997,4536,271,529,37.1,0.18,75.0,0,0,0,0,0,846,20,274,0,0,2235,2235,1489,0,15200,0,6,236,10411,51,9,30,0
Life,12,1,2,7,39,0,1.2,7632,227,13.5,125,71,17,20,18,3.71,2.11,0.59,0.5,40.6,2496,391,2105,0,74,5.2,0.24,100.0,0,0,0,0,0,488,0,-93,0,0,238,238,2427,1009,4535,658,13,65,7742,42,22,35,0
kingen,18,5,3,12,338,21,8.1,17630,425,21.5,52,15,16,14,12,1.25,0.36,0.34,0.39,12.1,16916,11302,4409,1205,408,16.5,0.41,89.5,2,1,0,0,0,-68,-12,36,0,0,1807,1807,10995,0,60958,524,27,687,37690,95,16,34,1
Clid,17,1,3,10,191,168,4.6,12869,310,15.7,61,14,11,15,12,1.47,0.34,0.36,0.27,14.2,11620,580,10659,381,280,11.4,0.27,57.9,0,0,0,0,0,243,8,243,0,1,97,97,23638,2229,42656,0,69,638,35491,88,16,38,1
Zeka,18,4,4,7,413,37,10,18864,455,23.0,60,7,18,6,5,1.45,0.17,0.14,0.43,14.0,17662,13271,2184,2207,426,17.3,0.27,57.9,0,0,0,0,0,-47,-9,-460,0,0,8022,8022,2666,0,30349,0,6,53,16460,186,8,31,1
Viper,18,8,0,6,473,68,11.4,21847,526,26.6,87,21,33,8,8,2.1,0.51,0.19,0.8,20.2,49662,33631,15559,472,1197,48.6,0.34,73.7,1,1,1,0,0,-123,-6,-464,0,0,10954,10954,7794,0,31502,0,18,295,12230,0,11,30,1
Life,15,1,1,10,54,0,1.3,10773,260,13.1,170,110,23,14,21,4.1,2.65,0.34,0.55,39.5,6426,928,3896,1602,155,6.3,0.27,57.9,0,0,0,0,0,216,3,-76,-1,0,578,578,2356,321,10636,5302,20,222,11319,28,27,42,1
kingen,17,0,1,0,235,0,7.3,9539,298,19.9,31,15,7,10,10,0.97,0.47,0.31,0.22,11.4,10736,574,10162,0,335,29.7,0,0.0,0,0,0,0,0,-148,-10,113,0,0,0,0,17871,0,20633,0,24,430,27175,56,12,25,0
Clid,13,0,1,0,159,135,5,8787,274,18.3,47,13,10,14,11,1.47,0.41,0.44,0.31,17.2,6325,347,5663,315,197,17.5,0,0.0,0,0,0,0,0,-221,-14,-449,0,0,0,0,16411,963,24804,0,38,520,27735,0,14,31,0
Zeka,15,0,3,0,262,11,8.2,9963,311,20.8,34,18,3,7,7,1.06,0.56,0.22,0.09,12.5,5462,3159,1344,959,171,15.1,0,0.0,0,0,0,0,0,-1041,-24,-909,-1,0,0,0,3328,0,20591,0,6,145,16702,73,8,26,0
Viper,16,0,1,0,397,38,12.4,13305,415,27.7,53,11,28,4,4,1.65,0.34,0.12,0.87,19.4,12165,7707,3474,984,380,33.6,0,0.0,0,0,0,0,0,-706,1,-643,0,0,611,611,4240,0,19599,0,9,258,12368,0,5,20,0
Life,12,0,1,0,40,0,1.2,6397,200,13.3,108,58,18,18,16,3.37,1.81,0.56,0.56,39.6,1464,80,1384,0,46,4.0,0,0.0,0,0,0,0,0,-27,4,683,1,0,85,85,755,657,1797,984,8,20,3176,42,20,34,0
kingen,18,1,2,1,303,0,7.3,13732,331,19.7,49,17,7,13,11,1.18,0.41,0.31,0.17,11.7,16679,3019,13660,0,402,15.2,0.05,40.0,0,0,0,0,0,-466,-8,76,0,0,0,0,24215,0,85485,0,58,489,44250,21,16,33,0
Clid,16,1,3,2,240,205,5.8,12754,307,18.3,74,20,20,19,17,1.78,0.48,0.46,0.48,17.6,10182,9948,0,234,245,9.3,0.07,60.0,0,0,0,0,0,-980,-19,-254,0,0,963,963,14635,0,49178,0,24,388,30919,71,20,42,0
Zeka,18,0,6,2,343,1,8.3,15007,361,21.5,64,29,12,12,11,1.54,0.7,0.29,0.29,15.2,28453,1784,26619,50,685,26.0,0.05,40.0,0,0,0,0,0,-1126,7,241,0,0,3198,3198,3591,0,17528,0,15,68,25995,199,15,36,0
Viper,18,2,1,3,453,72,10.9,19046,459,27.3,60,17,15,8,8,1.45,0.41,0.19,0.36,14.3,49020,45000,0,4020,1181,44.8,0.12,100.0,0,0,0,0,0,1841,27,624,0,0,5924,5924,3755,0,24280,0,31,169,12852,0,10,31,0
Life,14,1,3,4,43,0,1,9246,223,13.2,173,113,20,15,13,4.17,2.72,0.36,0.48,41.2,5149,620,3569,960,124,4.7,0.12,100.0,0,0,0,0,0,299,3,605,1,0,118,118,5069,1943,24419,3199,30,164,16396,97,18,33,0
kingen,15,1,2,3,243,8,8.8,10105,366,23.0,25,9,5,5,4,0.9,0.33,0.18,0.18,12.0,14330,12042,2288,0,519,36.1,0.14,66.7,0,0,0,0,0,449,5,353,1,0,1119,1119,2928,0,12071,0,26,374,16229,98,7,22,0
Clid,12,2,2,3,149,120,5.4,8631,312,19.7,52,9,13,9,7,1.88,0.33,0.33,0.47,25.0,6853,3775,2741,337,248,17.3,0.18,83.3,0,0,0,0,0,284,8,451,0,0,0,0,13094,2571,26604,0,14,264,22326,74,10,24,0
Zeka,15,0,3,3,223,0,8.1,8589,311,19.6,19,6,0,5,4,0.69,0.22,0.18,0,9.1,5243,519,4724,0,190,13.2,0.11,50.0,0,0,0,0,0,-878,-13,-449,0,0,811,811,9958,0,18573,0,16,368,24063,134,8,24,0
Viper,13,3,3,2,266,20,9.6,11239,407,25.6,39,17,11,9,8,1.41,0.62,0.33,0.4,18.8,10773,10443,304,26,390,27.1,0.18,83.3,1,0,0,0,0,-1786,-20,-243,0,0,0,0,1282,0,6649,0,6,49,11842,77,12,26,0
Life,10,0,2,4,29,0,1,5337,193,12.2,73,50,8,15,13,2.64,1.81,0.54,0.29,35.1,2504,167,1857,480,91,6.3,0.14,66.7,0,0,0,0,0,-824,-9,-737,0,0,0,0,3367,1860,8612,1733,7,12,7498,51,17,27,0
kingen,16,5,1,8,212,4,7.2,12584,429,21.7,29,10,3,7,6,0.99,0.34,0.24,0.1,11.4,8560,7474,886,200,292,15.0,0.44,61.9,1,0,1,0,0,522,-10,617,1,0,6883,6883,2381,0,26034,730,24,1726,15032,0,9,28,1
Clid,14,1,0,15,158,120,5.4,10270,350,17.7,58,16,21,14,13,1.98,0.55,0.48,0.72,22.7,10581,5272,4995,314,361,18.6,0.55,76.2,0,0,0,0,0,-283,4,-355,-1,0,785,785,10548,468,29388,0,23,281,19212,0,15,33,1
Zeka,17,2,1,9,310,30,10.6,13485,460,23.2,25,14,2,6,6,0.85,0.48,0.2,0.07,9.8,15720,10635,3254,1831,536,27.6,0.38,52.4,1,0,0,0,0,-424,-2,-363,0,0,3074,3074,3829,0,29683,0,11,169,13228,44,7,25,1
Viper,14,13,2,2,221,8,7.5,14671,500,25.2,49,19,11,10,9,1.67,0.65,0.34,0.38,19.2,19375,16373,2980,22,661,34.0,0.51,71.4,0,3,0,0,0,386,4,-194,-1,0,9348,9348,434,0,6560,0,20,294,8466,57,13,32,1
Life,12,0,4,10,31,0,1.1,7103,242,12.2,94,49,7,15,14,3.2,1.67,0.51,0.24,36.9,2786,653,1753,380,95,4.9,0.34,47.6,0,0,0,0,0,-59,-2,301,0,0,459,459,0,0,9300,0,18,168,10745,88,17,29,1
kingen,18,0,5,1,355,8,9.2,14885,386,22.7,44,15,9,12,10,1.14,0.39,0.31,0.23,14.1,12190,9289,2901,0,316,19.3,0.03,25.0,0,0,0,0,0,-332,-4,-286,0,0,2007,2007,3418,0,24507,0,32,532,24787,152,13,36,0
Clid,16,1,4,1,205,159,5.3,10812,280,16.5,74,15,21,15,13,1.92,0.39,0.39,0.54,23.8,5808,5084,286,438,151,9.2,0.05,50.0,0,0,0,0,0,-647,-2,-74,0,0,0,0,9298,0,29650,0,8,213,25294,135,17,37,0
Zeka,18,3,4,0,397,12,10.3,15728,408,24.0,40,22,6,9,8,1.04,0.57,0.23,0.16,12.9,12309,628,11631,50,319,19.5,0.08,75.0,0,0,0,0,0,-618,-5,-118,0,0,0,0,2368,277,13672,0,13,81,17081,113,12,32,0
