,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
Kiin,15,0,4,1,224,4,7.8,9924,347,20.0,27,14,3,2,2,0.94,0.49,0.07,0.1,14.2,12004,5419,6585,0,419,28.2,0.03,16.7,0,0,0,0,0,-813,-16,-1305,-1,0,9559,9559,1454,0,16663,0,14,127,19630,102,3,31,0
Cuzz,14,5,3,0,196,170,6.8,11065,387,22.3,49,14,13,12,10,1.71,0.49,0.42,0.45,25.8,8781,7806,0,975,307,20.6,0.17,83.3,1,1,0,0,0,1442,16,943,0,0,0,0,9412,0,31714,0,20,352,21472,75,14,35,0
Bdd,16,0,2,5,235,0,8.2,11196,391,22.6,18,5,0,3,3,0.63,0.17,0.1,0,9.5,6965,852,5963,150,243,16.3,0.17,83.3,0,0,0,0,0,-205,-20,-568,0,0,2451,2451,1700,262,7393,0,13,200,11939,45,3,19,0
Aiming,14,1,1,1,277,4,9.7,11370,397,23.0,28,11,6,4,4,0.98,0.38,0.14,0.21,14.7,13519,11893,1596,30,472,31.7,0.07,33.3,0,0,0,0,0,-652,2,-611,-1,0,301,301,1834,0,4219,0,25,394,8458,0,4,28,0
Lehends,10,0,4,1,36,0,1.3,5958,208,12.0,68,51,8,17,15,2.38,1.78,0.59,0.28,35.8,1349,204,993,152,47,3.2,0.03,16.7,0,0,0,0,0,-470,-6,-137,0,0,0,0,366,175,12327,0,14,95,8906,109,19,32,0
Kiin,16,3,2,0,296,12,8.3,12748,356,21.8,44,13,11,6,6,1.23,0.36,0.17,0.31,15.7,9721,8457,1264,0,271,14.7,0.08,42.9,0,0,0,0,0,225,14,499,1,0,508,508,11011,0,25322,0,13,46,28047,41,9,35,0
Cuzz,14,0,1,5,186,159,5.2,10108,282,17.3,64,15,13,14,13,1.79,0.42,0.39,0.36,22.8,6117,3267,2621,229,171,9.3,0.14,71.4,0,0,0,0,0,-396,3,27,0,0,0,0,15584,197,52213,0,15,341,41081,0,15,33,0
Bdd,17,1,3,4,314,8,8.8,13540,378,23.1,34,17,5,4,3,0.95,0.47,0.11,0.14,12.1,20098,1444,17856,798,561,30.5,0.14,71.4,0,0,0,0,0,-439,3,119,0,0,1318,1318,1028,0,7944,0,35,637,13454,133,6,24,0
Aiming,16,2,2,3,350,20,9.8,14686,410,25.1,43,12,14,2,2,1.2,0.33,0.06,0.39,15.3,20800,14477,6119,204,580,31.6,0.14,71.4,0,0,0,0,0,507,7,209,0,0,1955,1955,7251,0,9595,0,7,262,16037,42,5,22,0
Lehends,12,1,4,4,22,0,0.6,7511,210,12.8,96,64,9,21,19,2.68,1.79,0.59,0.25,34.2,9181,270,8459,452,256,13.9,0.14,71.4,0,0,0,0,0,275,-10,654,1,0,569,569,535,0,5773,5351,16,174,9886,88,23,36,0
